Uniprot Accession;Description;Gene name;IBAQ Amount in Ref2824 , fmol/ug yeast protein;Abundance Ratio: (S1) / (Ref2824);Abundance Ratio: (S2) / (Ref2824);Abundance Ratio: (S3) / (Ref2824);Abundance Ratio: (S4) / (Ref2824);Abundance Ratio: (S5) / (Ref2824);Abundance Ratio: (S6) / (Ref2824);Sequence Coverage [%];Identified Peptides;PSMs;Identified Unique Peptides;MW [kDa]
Q12069;tRNA pseudouridine(32) synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUS9 PE=1 SV=1;PUS9;4,88E-03;1,039;1,007;0,991;1,091;1,1;1,028;8;3;3;3;53,4
P40038;PHO85 cyclin-6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PCL6 PE=1 SV=1;PCL6;2,90E-02;2,136;2,253;2,286;2,311;2,702;2,462;8;3;3;3;47
Q08045;Long chronological lifespan protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LCL2 PE=1 SV=1;LCL2;;0,406;0,438;0,476;0,503;0,51;0,515;19;3;3;3;14,9
Q2V2P4;Uncharacterized protein YIL156W-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YIL156W-B PE=3 SV=1;;2,38E+00;0,316;0,304;0,329;0,294;0,298;0,31;23;2;3;2;8,2
P32609;Vacuolar segregation protein PEP7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP7 PE=1 SV=2;PEP7;1,92E-02;3,008;2,612;3,309;2,934;2,805;3,191;5;3;3;3;59,4
P06174;Uroporphyrinogen-III synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEM4 PE=1 SV=2;HEM4;6,95E-02;0,459;0,491;0,475;0,438;0,466;0,468;15;3;3;3;30,9
P53685;NAD-dependent protein deacetylase HST1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HST1 PE=1 SV=1;HST1;3,96E-02;0,353;0,315;0,307;0,358;0,396;0,364;5;3;3;2;57,7
P36137;Protein UIP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UIP5 PE=1 SV=1;UIP5;;3,244;2,94;3,302;3,254;3,224;2,783;4;2;3;2;50,9
P40096;Negative cofactor 2 complex subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUR6 PE=1 SV=1;BUR6;4,38E-01;0,49;0,473;0,481;0,525;0,578;0,546;25;3;3;3;15,5
Q05648;MIOREX complex component 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRX10 PE=1 SV=1;MRX10;5,53E-02;0,495;0,488;0,537;0,594;0,598;0,611;8;3;3;3;47,1
Q03306;Serine/threonine-protein kinase PKH3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PKH3 PE=1 SV=1;PKH3;2,89E-02;0,667;0,671;0,663;0,595;0,655;0,678;3;3;3;3;100,4
Q06143;Mitochondrial dicarboxylate transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DIC1 PE=1 SV=1;DIC1;9,31E-01;0,548;0,505;0,515;0,366;0,381;0,42;9;3;3;3;33
P32806;GTPase-activating protein GYP6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GYP6 PE=1 SV=2;GYP6;3,69E-02;1,685;1,719;1,819;1,719;1,689;1,823;7;3;3;3;53,8
P40549;Alpha-1,3-mannosyltransferase MNT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MNT3 PE=1 SV=1;MNT3;2,62E-02;1,414;1,454;1,437;1,567;1,582;1,558;5;3;3;3;72,4
P38109;Putative serine carboxypeptidase YBR139W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR139W PE=1 SV=1;;;0,644;0,586;0,644;0,559;0,557;0,635;6;3;3;3;57,6
P25344;Protein STE50 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE50 PE=1 SV=1;STE50;3,32E-01;0,581;0,575;0,594;0,641;0,667;0,662;5;2;3;2;38,9
Q12382;CTP-dependent diacylglycerol kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DGK1 PE=1 SV=1;DGK1;;1,051;0,769;1,053;0,862;0,82;0,711;12;3;3;3;32,8
P36973;Adenine phosphoribosyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APT2 PE=1 SV=2;APT2;5,56E-01;1,798;1,826;1,845;1,733;1,856;1,91;12;2;3;2;20
Q3E776;Uncharacterized protein YBR255C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR255C-A PE=4 SV=1;;1,16E-01;0,462;0,452;0,504;0,432;0,439;0,44;28;3;3;3;13,7
Q06821;Uncharacterized protein YPR084W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR084W PE=1 SV=1;;;0,917;0,863;0,961;1,003;0,951;0,969;6;3;3;3;50,8
P39731;Kinetochore-associated protein MTW1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTW1 PE=1 SV=2;MTW1;9,14E-02;0,66;0,634;0,698;0,714;0,798;0,767;11;3;3;3;33,2
Q12020;Protein SRL2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRL2 PE=1 SV=1;SRL2;4,52E-02;0,741;0,737;0,829;0,932;0,841;0,87;7;3;3;3;45,1
Q08438;Phosphopantothenoylcysteine decarboxylase subunit VHS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VHS3 PE=1 SV=1;VHS3;7,30E-03;100;100;100;100;100;100;4;3;3;1;73,6
Q05471;Helicase SWR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SWR1 PE=1 SV=1;SWR1;1,21E-02;1,876;1,884;1,986;1,976;1,981;1,966;2;3;3;3;174,4
P53203;Peroxisomal membrane protein PEX31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEX31 PE=1 SV=1;PEX31;5,91E-02;0,738;0,726;0,8;0,711;0,795;0,87;10;3;3;3;52,9
P36085;Protein STB6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STB6 PE=1 SV=1;STB6;7,45E-04;1,235;1,227;1,285;1,428;1,318;1,326;3;3;3;3;88,8
Q99181;Protein HSH49 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSH49 PE=1 SV=1;HSH49;2,00E-01;0,917;0,852;0,933;1,036;1,061;1,026;15;3;3;3;24,5
Q06179;Protein FMP27, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP27 PE=1 SV=1;FMP27;2,71E-02;0,341;0,343;0,335;0,35;0,36;0,362;1;3;3;3;303,3
P39722;Mitochondrial Rho GTPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GEM1 PE=1 SV=1;GEM1;1,70E-02;0,967;0,902;0,971;0,895;0,857;0,877;5;3;3;3;75,1
P50264;Polyamine oxidase FMS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMS1 PE=1 SV=1;FMS1;2,64E-02;1,632;1,59;1,835;1,448;1,698;1,685;8;3;3;3;57,8
P30402;Orotate phosphoribosyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA10 PE=1 SV=3;URA10;5,24E-01;1,654;1,768;1,888;1,85;2,046;2,04;13;3;3;2;24,8
Q12513;Translation machinery-associated protein 17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA17 PE=1 SV=1;TMA17;2,12E+00;2,133;2,249;2,562;2,546;2,649;2,477;21;3;3;3;16,8
P33306;Protein BCK2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BCK2 PE=1 SV=2;BCK2;;1,615;1,288;1,531;2,095;1,66;1,693;4;3;3;3;93,7
Q08954;Smr domain-containing protein YPL199C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPL199C PE=1 SV=1;;4,08E-01;0,532;0,59;0,536;0,836;0,799;0,728;15;3;3;3;26,7
Q12676;Dihydrofolate synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FOL3 PE=1 SV=1;FOL3;3,10E-02;0,349;0,312;0,395;0,312;0,316;0,3;9;3;3;3;47,8
Q12043;Lipase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TGL5 PE=1 SV=1;TGL5;3,51E-02;0,543;0,54;0,555;0,541;0,523;0,538;3;3;3;3;84,7
P32656;Glutathione-specific gamma-glutamylcyclotransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCG1 PE=1 SV=1;GCG1;7,50E-02;0,904;0,875;0,915;0,923;0,926;0,969;13;3;3;3;26,3
P19956;54S ribosomal protein L44, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL44 PE=1 SV=1;MRPL44;1,41E-01;0,826;0,839;0,811;0,788;0,811;0,909;32;2;3;2;11,5
Q12325;Sulfate permease 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUL2 PE=1 SV=1;SUL2;1,29E-02;0,781;0,976;0,928;0,763;0,788;0,824;3;3;3;3;99,6
P31109;Synaptobrevin homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNC1 PE=1 SV=1;SNC1;;3,125;3,028;3,319;2,407;2,562;2,67;24;2;3;2;13,2
P53892;Protein IBD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IBD2 PE=1 SV=1;IBD2;1,93E-02;3,57;3,903;3,848;4,039;4,268;3,864;13;3;3;3;40
Q01976;ADP-ribose pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YSA1 PE=1 SV=2;YSA1;3,89E-02;1,775;1,844;1,825;1,703;1,932;1,838;13;3;3;3;26,1
P32774;Transcription initiation factor IIA subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOA2 PE=1 SV=1;TOA2;1,27E+00;2,338;2,316;2,432;2,635;2,793;2,643;20;3;3;3;13,5
P46671;Factor arrest protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAR3 PE=1 SV=2;FAR3;6,22E-02;2,437;2,423;2,629;2,738;3,003;2,667;8;2;3;2;24
P38179;Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALG3 PE=1 SV=1;ALG3;6,64E-02;2,091;2,034;2,095;1,883;1,818;1,895;4;2;3;2;52,8
Q06567;ABC1 family protein MCP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCP2 PE=1 SV=1;MCP2;8,56E-02;0,242;0,241;0,264;0,255;0,28;0,257;5;3;3;3;65,9
P52919;NAP1-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NBP1 PE=1 SV=1;NBP1;3,30E-02;0,668;0,644;0,639;0,625;0,683;0,689;12;3;3;3;37,3
P06700;NAD-dependent histone deacetylase SIR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIR2 PE=1 SV=1;SIR2;2,31E-02;2,361;2,194;2,328;2,376;2,284;2,939;9;3;3;2;63,2
P38331;HD domain-containing protein YBR242W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR242W PE=1 SV=1;;2,93E-02;0,837;0,879;0,871;0,951;1,171;0,968;16;3;3;3;27,6
P38782;Mediator of RNA polymerase II transcription subunit 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MED6 PE=1 SV=1;MED6;5,56E-03;0,811;0,854;0,821;0,885;0,902;0,886;7;2;3;2;32,8
P53871;Probable glutamine amidotransferase DUG3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUG3 PE=1 SV=1;DUG3;5,07E-02;3,042;2,948;2,939;2,368;2,086;2,242;12;3;3;3;40,2
P43579;Ino eighty subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IES1 PE=1 SV=1;IES1;3,02E-02;3,04;3,204;3,133;3,985;2,947;2,983;5;3;3;3;78,7
Q04033;Probable aminopeptidase YDR415C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR415C PE=3 SV=1;;3,84E-02;0,618;0,579;0,635;0,558;0,563;0,584;6;2;3;2;42,5
P04650;60S ribosomal protein L39 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL39 PE=1 SV=3;RPL39;;0,984;1,01;0,978;1,06;1,088;1,099;20;1;3;1;6,3
P40165;NAD(P)H-hydrate epimerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL200C PE=1 SV=1;;;1,154;0,954;1,003;1,196;1,231;0,979;8;2;3;2;27,5
Q03071;Elongin-C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ELC1 PE=1 SV=1;ELC1;2,25E-01;1,072;1,103;1,093;1,118;1,177;1,145;29;3;3;3;11,3
Q12283;Malonyl CoA-acyl carrier protein transacylase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCT1 PE=1 SV=2;MCT1;1,40E-02;2,185;2,182;2,228;1,713;1,749;1,73;11;3;3;3;40,7
Q92316;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OST5 PE=1 SV=2;OST5;3,91E-01;2,196;2,209;2,085;2,094;2,069;2,179;23;2;3;2;9,5
P47187;Protein COS5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COS5 PE=1 SV=1;COS5;6,90E-03;0,901;0,821;1,068;1,165;1,108;1,149;9;3;3;1;45,7
Q07914;Mitochondrial import inner membrane translocase subunit TIM14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAM18 PE=1 SV=1;PAM18;1,13E+00;0,403;0,394;0,385;0,334;0,381;0,391;15;3;3;3;17,9
Q04659;Chromosome segregation in meiosis protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSM3 PE=1 SV=1;CSM3;4,31E-02;1,191;1,256;1,104;1,435;1,473;1,455;5;2;3;2;36,3
P41818;Protein GLC8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLC8 PE=1 SV=1;GLC8;1,70E-02;2,83;2,254;2,546;2,744;2,851;2,651;7;2;3;2;26,6
Q01448;Histone promoter control protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HPC2 PE=1 SV=2;HPC2;;1,875;2,004;2,095;2,307;2,307;2,378;2;2;3;2;67,7
P43571;GPI inositol-deacylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BST1 PE=1 SV=1;BST1;3,41E-03;1,021;0,957;0,976;1,075;1,078;0,975;3;3;3;3;117,7
P48743;RFX-like DNA-binding protein RFX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFX1 PE=1 SV=2;RFX1;3,11E-02;1,077;0,991;0,962;0,649;0,632;0,603;4;3;3;3;90,5
P20134;Flocculation suppression protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFL1 PE=1 SV=3;SFL1;1,77E-02;1,464;1,392;1,556;1,437;1,417;1,513;4;3;3;3;83,3
P32829;Double-strand break repair protein MRE11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRE11 PE=1 SV=2;MRE11;7,36E-03;2,562;0,884;2,244;1,467;0,941;0,963;5;3;3;3;77,6
P43589;Pre-mRNA-splicing factor SAD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAD1 PE=1 SV=1;SAD1;5,34E-03;2,062;1,937;1,943;1,738;1,689;1,592;6;3;3;3;52,1
Q02208;Topoisomerase 1-associated factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOF2 PE=1 SV=1;TOF2;3,17E-03;1,396;1,315;1,294;1,443;1,464;1,394;4;3;3;3;86,3
Q12745;Protein transport protein SEC39 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC39 PE=1 SV=1;SEC39;1,69E-01;1,382;1,392;1,323;1,883;1,599;1,659;4;3;3;3;82,3
P32613;TRAPP-associated protein TCA17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TCA17 PE=1 SV=1;TCA17;5,37E-01;1,279;1,327;1,276;1,419;1,46;1,48;13;2;3;2;17,3
P36164;Golgi apparatus membrane protein TVP38 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TVP38 PE=1 SV=1;TVP38;7,39E-01;0,635;0,631;0,673;0,577;0,58;0,594;5;2;3;2;38,3
P20084;54S ribosomal protein L33, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL33 PE=1 SV=4;MRPL33;1,76E+00;0,315;0,25;0,268;0,281;0,271;0,258;29;2;3;2;9,5
P42223;Protein SBE2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SBE2 PE=1 SV=2;SBE2;4,46E-03;1,272;1,321;1,72;1,587;1,536;1,508;4;3;3;3;98,9
P36106;Transcription factor BYE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BYE1 PE=1 SV=1;BYE1;1,94E-02;0,537;0,482;0,527;0,667;0,66;0,652;3;2;3;2;67,9
P18408;Phosphoadenosine phosphosulfate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET16 PE=1 SV=2;MET16;1,21E-01;1,129;1,122;1,055;0,385;0,342;0,363;12;2;3;2;30,4
Q12256;Polyamine transporter 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPO4 PE=1 SV=1;TPO4;2,65E-01;0,283;0,256;0,272;0,308;0,296;0,27;7;3;3;3;73,2
Q08873;Transgelin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCP1 PE=1 SV=1;SCP1;2,04E-01;1,388;1,357;1,401;1,55;1,52;1,501;14;3;3;3;22,7
P37299;Cytochrome b-c1 complex subunit 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR10 PE=1 SV=2;QCR10;5,13E+01;0,03;0,033;0,033;0,029;0,03;0,031;34;2;3;2;8,6
P38120;37S ribosomal protein S9, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPS9 PE=1 SV=1;MRPS9;2,47E-01;0,368;0,359;0,372;0,397;0,399;0,411;10;3;3;3;31,9
Q08492;Bud site selection protein 21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD21 PE=1 SV=1;BUD21;;2,671;2,972;2,986;3,976;3,85;3,822;10;2;3;2;24,4
Q03419;ADIPOR-like receptor IZH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IZH1 PE=1 SV=1;IZH1;6,01E-02;1,411;1,401;1,646;1,193;1,354;1,237;6;2;3;2;36,5
Q08223;Altered inheritance of mitochondria protein 39, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM39 PE=3 SV=1;AIM39;2,05E-01;0,875;0,766;0,895;0,75;0,789;0,804;8;3;3;3;45,8
Q03178;Cell wall mannoprotein PIR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIR1 PE=1 SV=1;PIR1;;1,336;1,196;1,117;1,801;1,706;1,678;8;3;3;1;34,6
P53733;37S ribosomal protein S19, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSM19 PE=1 SV=1;RSM19;9,02E-01;0,726;0,683;0,691;0,664;0,665;0,67;37;3;3;3;10,3
P38877;Chromosome transmission fidelity protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTF8 PE=1 SV=1;CTF8;4,38E-02;1,703;1,681;1,778;1,821;1,779;1,95;14;2;3;2;15,2
P47988;TY1 enhancer activator OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEA1 PE=1 SV=2;TEA1;6,85E-02;1,434;1,519;1,675;1,456;1,234;1,379;4;3;3;3;86,8
P32893;Trafficking protein particle complex II-specific subunit 65 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRS65 PE=1 SV=1;TRS65;4,63E-03;1,378;1,284;1,395;1,245;1,258;1,354;6;3;3;3;63,3
Q02516;Transcriptional activator HAP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HAP5 PE=1 SV=1;HAP5;8,63E-02;0,625;0,565;0,686;0,572;0,574;0,595;12;3;3;3;27,7
Q12445;Nucleoporin POM34 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POM34 PE=1 SV=1;POM34;;2,661;2,52;2,632;3,023;2,975;3,111;6;2;3;2;34,2
P32606;Putative mitochondrial translation system component PET127 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET127 PE=1 SV=2;PET127;6,09E-03;1,476;1,509;1,554;1,188;1,107;1,168;5;3;3;3;93,4
P53279;Non-classical export protein 2 homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FHN1 PE=1 SV=1;FHN1;;4,413;4,69;4,555;5,687;6,274;5,888;9;2;3;2;19,1
P54858;Protein DOS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DOS2 PE=1 SV=1;DOS2;4,76E-03;1,106;1,116;1,186;1,12;1,19;1,104;8;2;3;2;35,9
P34164;SNF1 protein kinase subunit beta-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIP2 PE=1 SV=3;SIP2;9,94E-02;0,095;0,027;0,64;0,163;0,808;0,01;4;2;3;1;46,4
Q07468;Vacuolar morphogenesis protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VAM6 PE=1 SV=1;VAM6;6,56E-02;0,56;0,546;0,568;0,615;0,631;0,532;3;3;3;3;122,8
P53897;mRNA stability protein IGO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IGO1 PE=1 SV=1;IGO1;;1,268;1,296;1,191;1,273;1,229;1,171;27;3;3;3;18
P43124;Non-structural maintenance of chromosome element 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NSE4 PE=1 SV=1;NSE4;9,73E-03;1,31;1,237;1,433;1,576;1,639;1,645;8;3;3;3;46,1
P32578;SNF1 protein kinase subunit beta-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIP1 PE=1 SV=2;SIP1;5,84E-03;1,581;1,605;1,746;1,602;1,823;1,817;6;3;3;3;91
Q12155;Uncharacterized membrane protein YLR050C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR050C PE=1 SV=1;;9,25E-01;0,373;0,419;0,388;0,378;0,443;0,414;15;3;3;3;19,1
Q07830;GPI ethanolamine phosphate transferase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPI13 PE=1 SV=1;GPI13;1,97E-02;0,423;0,411;0,451;0,467;0,457;0,507;2;2;3;2;115,6
P38146;GTP-binding protein YPT10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPT10 PE=1 SV=2;YPT10;5,36E-02;2,742;2,605;2,849;2,664;3,24;3,134;19;3;3;3;21,8
P47142;Vacuolar protein-sorting-associated protein 25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS25 PE=1 SV=1;VPS25;;0,271;0,247;0,272;0,248;0,254;0,249;8;2;3;2;23,5
Q08023;Protein FMP25, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP25 PE=4 SV=1;FMP25;5,14E-02;0,338;0,33;0,346;0,338;0,346;0,365;5;3;3;3;66,6
P53244;Arrestin-related trafficking adapter 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ART5 PE=1 SV=1;ART5;1,75E-02;1,152;0,866;0,955;0,846;0,889;0,831;8;3;3;3;65,4
Q99332;Protein HPH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRT1 PE=1 SV=1;FRT1;2,43E-03;0,838;0,741;0,794;0,767;0,829;0,89;4;3;3;3;67,3
P53886;Anaphase-promoting complex subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APC1 PE=1 SV=2;APC1;1,48E-02;1,173;0,959;1,283;1,115;1,176;1,186;1;2;3;2;196
Q08281;Restriction of telomere capping protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTC1 PE=1 SV=2;RTC1;1,17E-02;3,597;3,04;3,59;3,7;3,59;3,469;3;3;3;3;149,3
Q06543;GPN-loop GTPase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPN3 PE=1 SV=1;GPN3;;15,074;16,406;14,726;17,308;17,169;17,66;13;2;3;2;30,6
P50105;Transcription initiation factor TFIID subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF4 PE=1 SV=1;TAF4;1,31E-01;0,657;0,52;0,56;0,627;0,646;0,594;6;3;3;3;42,3
P27705;Regulatory protein MIG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIG1 PE=1 SV=1;MIG1;;1,092;1,047;1,204;1,147;1,186;1,189;6;3;3;3;55,5
P38870;Uncharacterized protein YHR182W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHR182W PE=1 SV=1;;1,09E-02;2,324;2,412;2,394;2,355;2,248;2,198;4;3;3;3;90,1
P25332;Ribokinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RBK1 PE=1 SV=2;RBK1;6,14E-02;2,762;3,094;2,909;3,637;3,399;3,538;6;2;3;2;36,9
P53283;Polyamine transporter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPO2 PE=1 SV=1;TPO2;1,03E-03;2,928;2,334;2,447;3,103;3,587;2,836;5;3;3;3;67,5
P28263;Ubiquitin-conjugating enzyme E2-24 kDa OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBC8 PE=1 SV=2;UBC8;8,00E-02;4,152;4,112;4,311;4,176;4,178;4,152;17;3;3;3;24,6
P40206;Protein JLP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=JLP2 PE=1 SV=2;JLP2;9,56E-02;0,61;0,564;0,592;0,584;0,632;0,634;15;3;3;3;24,6
Q12248;DASH complex subunit DAD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAD1 PE=1 SV=1;DAD1;;3,315;3,313;3,296;3,608;3,818;3,66;37;2;3;2;10,5
Q12133;Signal peptidase complex subunit SPC3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPC3 PE=1 SV=1;SPC3;4,27E-01;1,005;0,978;1,009;1,026;1,06;1,044;15;3;3;3;21,3
Q03935;AP-1-like transcription factor YAP6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YAP6 PE=1 SV=1;YAP6;;4,216;4,652;4,104;4,097;5,221;5,157;5;2;3;1;43,6
