Accession;Description;Coverage_%;Peptides;PSMs;Unique_Peptides;MW_kDa;Rich_1;Rich_2;Rich_3;Min_1;Min_2;Min_3
P38337;COMPASS component SHG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHG1 PE=1 SV=1;31;3;3;3;16,4;0,992;0,767;0,81;0,957;0,772;0,432
Q04511;Ubiquitin ligase complex F-box protein UFO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UFO1 PE=1 SV=1;3;2;3;2;76,8;0,788;0,714;0,644;0,733;0,576;0,579
P14737;DNA repair protein RAD9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAD9 PE=1 SV=2;2;3;3;3;148,3;0,999;0,943;0,87;0,961;0,81;0,562
Q03758;Ubiquitin ligase-binding protein BUL2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUL2 PE=1 SV=1;3;3;3;2;104,7;1,628;1,631;1,679;1,473;1,626;1,485
Q06651;E3 ubiquitin-protein ligase PIB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIB1 PE=1 SV=1;13;3;3;3;32,7;0,565;0,61;0,492;0,545;0,612;0,569
P53290;GTP-binding protein GTR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GTR2 PE=1 SV=1;9;3;3;3;38,6;1,35;1,351;0,813;1,624;1,358;0,536
P38063;Ribose-phosphate pyrophosphokinase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRS4 PE=1 SV=3;12;3;3;1;35,7;0,904;0,798;0,362;0,859;0,659;0,129
Q08886;Guanine nucleotide-binding protein subunit beta 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPB1 PE=1 SV=1;2;2;2;2;100,9;1,049;1,016;1,144;1,198;1,34;1,426
P38741;Meiotic activator RIM4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIM4 PE=1 SV=1;5;2;2;2;80,1;0,253;0,257;0,241;0,322;0,317;0,29
P38116;ADP-ribosylation factor-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARL1 PE=1 SV=4;6;1;2;1;20,4;0,552;0,559;0,478;0,554;0,492;0,273
Q08281;Restriction of telomere capping protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTC1 PE=1 SV=2;2;2;2;2;149,3;0,974;1,056;1,522;0,952;1,109;1,175
P53123;rRNA methyltransferase 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRM2 PE=1 SV=1;6;2;2;2;37,4;0,745;0,757;0,652;0,894;0,859;0,635
P53890;Bud neck protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BNI5 PE=1 SV=1;6;2;2;2;49,7;1,189;1,213;0,955;1,103;0,964;0,842
P53913;Protein FYV6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FYV6 PE=1 SV=1;14;2;2;2;20;0,984;1,032;1,154;0,814;1,059;1,098
P40038;PHO85 cyclin-6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PCL6 PE=1 SV=1;4;2;2;2;47;0,872;0,998;1,013;0,832;0,848;0,906
Q01919;Serine/threonine-protein kinase KIN4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KIN4 PE=1 SV=1;3;2;2;2;90;3,244;3,236;2,615;2,597;3,078;3,224
P13483;Oligo(A)/oligo(T)-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAT1 PE=1 SV=1;5;1;2;1;27,1;0,66;0,634;1,812;0,603;0,688;1,114
P46964;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OST2 PE=1 SV=3;6;1;2;1;14,7;0,704;0,71;0,644;0,709;0,606;0,278
Q99278;Mediator of RNA polymerase II transcription subunit 11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MED11 PE=1 SV=2;23;2;2;2;13,3;0,577;0,57;0,589;0,77;0,792;1,288
Q07532;RNA polymerase II nuclear localization protein IWR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IWR1 PE=1 SV=2;2;1;2;1;40,6;1,677;1,425;1,691;2,644;1,683;1,91
O13525;Ubiquinone biosynthesis protein COQ4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COQ4 PE=1 SV=2;7;2;2;2;38,6;0,499;0,512;0,551;0,499;0,552;0,575
P53250;Twinfilin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TWF1 PE=1 SV=1;6;2;2;2;37;2,286;2,339;2,749;1,926;2,378;2,862
P47138;Diphthamide biosynthesis protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=JJJ3 PE=1 SV=1;14;2;2;2;20;1,64;1,807;1,325;2,288;2,133;1,711
P38691;Serine/threonine-protein kinase KSP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KSP1 PE=1 SV=1;2;2;2;2;117;1,558;1,356;0,975;1,32;0,983;0,706
P53855;Autophagy-related protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG2 PE=1 SV=1;2;2;2;2;178,3;0,916;0,98;0,884;0,797;0,979;0,905
P53144;HD domain-containing protein YGL101W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGL101W PE=1 SV=1;9;2;2;2;25,3;1,383;1,387;1,092;1,446;1,16;0,74
P21657;Transcriptional activator protein DAL81 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAL81 PE=1 SV=3;2;2;2;2;109,1;0,797;0,744;0,687;0,755;0,712;0,713
P46680;Actin-interacting protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIP1 PE=1 SV=1;5;2;2;2;67,3;1,888;1,92;1,427;1,476;2,111;2,729
Q04081;Leucine carboxyl methyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PPM1 PE=1 SV=1;8;2;2;2;37,7;1,929;1,92;2,28;1,829;2,005;2,149
Q06089;Uncharacterized mitochondrial outer membrane protein YPR098C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR098C PE=1 SV=2;6;2;2;2;17,7;1,82;1,869;2,469;1,591;1,69;1,782
P57743;U6 snRNA-associated Sm-like protein LSm3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSM3 PE=1 SV=1;22;1;2;1;10;3,252;2,501;1,249;2,851;2,821;0,465
P43571;GPI inositol-deacylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BST1 PE=1 SV=1;3;2;2;2;117,7;0,661;0,726;0,453;0,681;0,548;0,393
P43633;Serine/threonine-protein kinase Haspin homolog ALK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALK1 PE=1 SV=2;2;2;2;2;86;1,596;1,618;3,135;1,426;1,821;2,431
Q02159;Ubiquitin-conjugating enzyme E2 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBC7 PE=1 SV=1;9;2;2;2;18,5;1,276;1,13;1,145;1,061;1,3;1,734
P38954;Inositolphosphotransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IPT1 PE=1 SV=2;3;2;2;2;60,8;1,12;1,115;0,861;0,875;0,785;0,516
P38167;Protein ECM21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM21 PE=1 SV=2;2;2;2;2;123,5;1,452;1,412;1,318;1,592;1,929;2,218
Q3E793;BolA-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BOL1 PE=1 SV=1;16;2;2;2;12,5;1,183;1,177;1,033;1,137;1,315;1,482
P18496;Mitochondrial ATPase complex subunit ATP10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP10 PE=1 SV=2;7;2;2;2;32,1;0,822;0,761;0,888;0,687;0,81;0,873
P38212;Protein RCR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RCR1 PE=1 SV=1;11;1;2;1;23,9;100;100;;100;100;
Q04149;Crossover junction endonuclease MUS81 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MUS81 PE=1 SV=1;3;2;2;2;72,3;0,675;0,684;0,74;0,701;0,583;0,661
P32656;Glutathione-specific gamma-glutamylcyclotransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCG1 PE=1 SV=1;9;2;2;2;26,3;1,382;1,36;1,691;1,178;1,262;1,296
P40962;Zinc finger protein RTS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTS2 PE=1 SV=1;12;2;2;2;27;1,464;1,222;0,934;1,183;1,085;1,094
P53246;Late endosome and vacuole interface protein 11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENV11 PE=1 SV=1;2;2;2;2;98;0,872;0,902;1;0,975;0,889;0,891
Q12442;ADIPOR-like receptor IZH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IZH2 PE=1 SV=2;7;2;2;2;36,3;1,85;1,878;1,28;1,298;1,263;0,989
P40155;Peroxisomal membrane protein PEX17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEX17 PE=1 SV=1;12;2;2;2;23,2;1,467;1,554;1,175;1,527;1,357;1,094
Q02887;Autophagy-related protein 21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG21 PE=1 SV=1;3;2;2;2;55,2;0,692;0,668;0,987;0,665;0,875;1,164
P31115;tRNA pseudouridine(38/39) synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DEG1 PE=1 SV=1;5;2;2;2;50,9;0,828;0,836;1,017;0,834;0,895;0,815
Q07895;FAS1 domain-containing protein YLR001C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR001C PE=1 SV=1;2;2;2;2;97,6;0,464;0,411;0,255;0,533;0,42;0,195
Q06147;Sphingoid long chain base kinase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LCB5 PE=1 SV=1;1;1;2;1;77,5;1,079;1,117;1,095;0,923;1,193;1,249
P53078;Suppressor of disruption of TFIIS OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDT1 PE=1 SV=1;9;2;2;2;31,9;1,282;1,379;1,028;1,663;1,439;1,176
Q06266;Protein TOS4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOS4 PE=1 SV=1;2;1;2;1;55,4;0,92;0,989;0,831;0,901;0,992;1,003
P39547;ULP1-interacting protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UIP3 PE=1 SV=1;3;1;2;1;27,1;0,694;0,659;0,539;0,528;0,472;0,312
P32785;Methionyl-tRNA formyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMT1 PE=1 SV=2;6;2;2;2;44,6;0,772;0,839;0,84;0,796;0,746;0,631
P53849;Zinc finger protein GIS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GIS2 PE=1 SV=1;8;2;2;2;17,1;0,731;0,714;0,896;0,812;1,104;1,061
Q03012;COMPASS component SPP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPP1 PE=1 SV=1;6;2;2;2;41,4;1,277;1,284;1,055;1,205;1,101;1,026
P53898;Protein NSG2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NSG2 PE=1 SV=1;3;1;2;1;33,6;1,963;2,252;2,062;1,956;1,855;1,543
O14464;54S ribosomal protein RTC6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTC6 PE=1 SV=1;10;1;2;1;10,7;0,71;0,658;1,166;0,657;0,729;0,798
P00401;Cytochrome c oxidase subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX1 PE=3 SV=2;3;1;2;1;58,8;3,103;3,585;2,045;3,376;2,659;1,234
P34232;mRNA transport regulator MTR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTR2 PE=1 SV=1;14;2;2;2;20,8;3,02;3,206;2,637;3,082;3,271;3,677
P07266;Mitochondrial RNA-splicing protein MRS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRS1 PE=1 SV=2;5;2;2;2;41,3;1,177;0,894;1,143;1,098;1,125;1,083
P32860;NifU-like protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NFU1 PE=1 SV=2;9;2;2;2;29,2;1,597;1,25;0,769;1,659;1,272;0,736
P40570;Putative uncharacterized protein YIR014W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YIR014W PE=4 SV=2;15;2;2;2;27,6;1,476;1,291;1,165;1,334;1,161;0,638
P40544;Zinc transporter YKE4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKE4 PE=1 SV=1;3;1;2;1;37,4;1,683;1,738;1,207;1,729;1,575;0,505
P42837;Polyphosphoinositide phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FIG4 PE=1 SV=1;3;2;2;2;101,7;0,862;0,852;0,74;0,768;0,676;0,869
P41834;Syntaxin UFE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UFE1 PE=1 SV=2;3;2;2;2;40,5;0,945;0,924;0,782;0,842;0,716;0,577
P38870;Uncharacterized protein YHR182W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHR182W PE=1 SV=1;3;2;2;2;90,1;1,215;1,251;1,459;1,091;1,074;1,284
P38699;Protein STB5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STB5 PE=1 SV=1;3;2;2;2;83,4;0,82;0,788;0,815;0,769;0,657;0,51
Q03010;Transcriptional regulatory protein UME1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UME1 PE=1 SV=1;4;2;2;2;51;1,313;1,365;1,156;1,266;1,518;1,763
Q12015;Transmembrane protein YOR223W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOR223W PE=1 SV=1;5;2;2;2;32,9;0,955;0,933;0,961;0,89;0,831;0,709
P43564;Uncharacterized membrane protein YFL034W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFL034W PE=1 SV=2;2;2;2;2;119,4;0,521;0,543;0,638;0,566;0,594;0,614
P40159;Uncharacterized protein YNL208W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL208W PE=1 SV=2;9;1;2;1;20,1;1,332;1,215;1,109;1,203;1,198;1,41
P38745;Uncharacterized membrane protein YHL071W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHL017W PE=1 SV=1;5;2;2;2;61,2;0,609;0,624;0,448;0,659;0,563;0,22
Q04406;Early meiotic induction protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMI1 PE=3 SV=1;11;2;2;2;21,1;1,412;1,248;2,211;1,353;1,669;1,758
P38176;Vacuolar amino acid transporter 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AVT5 PE=3 SV=2;4;2;2;2;50,9;0,629;0,621;0,639;0,695;0,557;0,387
P38784;Vacuolar ATPase assembly protein VMA22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA22 PE=1 SV=1;8;2;2;2;21,1;1,194;1,088;0,991;1,258;1,256;1,382
P07390;COX3 mRNA-specific translational activator PET494 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET494 PE=1 SV=2;2;1;2;1;57,5;0,688;0,616;0,323;0,647;0,465;0,274
P40208;Glucose-induced degradation protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GID8 PE=1 SV=1;4;2;2;2;51,7;0,35;0,347;0,249;0,334;0,257;0,172
Q12134;Protein HUA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HUA2 PE=1 SV=1;8;2;2;2;28,4;0,882;0,885;0,705;0,833;0,738;0,568
P20053;U4/U6 small nuclear ribonucleoprotein PRP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP4 PE=1 SV=1;5;2;2;2;52,4;0,928;0,832;0,517;0,863;0,698;0,269
P39724;BolA-like protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BOL3 PE=1 SV=1;14;2;2;2;13,3;1,726;1,447;1,685;1,525;1,696;1,898
P47095;Methylthioribulose-1-phosphate dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDE1 PE=1 SV=1;11;2;2;2;27,4;0,622;0,5;0,592;0,696;0,581;0,691
P38705;Serine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DIA4 PE=1 SV=1;2;1;2;1;50,4;0,615;0,585;0,591;0,586;0,521;0,466
P53099;Vitamin B6 transporter TPN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPN1 PE=1 SV=1;4;2;2;2;64,5;1,411;1,479;1,109;1,416;1,2;0,595
P35195;UPF0045 protein ECM15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM15 PE=1 SV=1;10;2;2;2;11,5;0,415;0,373;0,64;0,491;0,399;0,574
P38931;Mediator of RNA polymerase II transcription subunit 13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSN2 PE=1 SV=2;1;2;2;2;159,9;0,857;0,896;0,714;0,728;0,714;0,649
P08425;Phenylalanine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSF1 PE=1 SV=3;4;2;2;2;54,8;0,698;0,711;0,66;0,59;0,602;0,632
P14682;Ubiquitin-conjugating enzyme E2-34 kDa OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC34 PE=1 SV=1;6;2;2;2;34;0,963;0,806;0,56;0,783;0,686;0,445
Q12089;ATPase expression protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AEP3 PE=1 SV=1;3;2;2;2;70,3;1,081;1,118;0,961;1,092;1,128;1,149
P11978;Regulatory protein SIR4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIR4 PE=1 SV=1;2;2;2;2;152;2,11;2,218;1,905;1,947;1,626;1,801
P53965;Tyrosine-protein phosphatase SIW14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIW14 PE=1 SV=1;11;2;2;2;32,7;1,99;1,714;1,732;2,207;2,09;1,434
P42845;Protein STB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STB1 PE=1 SV=2;4;2;2;2;45,7;0,528;1,095;0,39;0,684;0,41;0,794
P53012;FIT family protein SCS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCS3 PE=1 SV=1;6;2;2;2;42,7;1,182;1,208;1,114;0,996;0,955;0,693
Q03063;Down-regulator of invasive growth 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DIG1 PE=1 SV=1;6;2;2;2;49,3;0,68;0,663;1,214;0,648;0,797;1,019
P42951;Phosphatidylinositol 4-kinase LSB6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSB6 PE=1 SV=1;3;2;2;2;70,2;0,501;0,482;0,53;0,516;0,443;0,489
P36156;Glutathione S-transferase omega-like 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM4 PE=1 SV=1;5;1;2;1;43,2;0,326;0,342;0,33;0,36;0,305;0,263
P32623;Probable glycosidase CRH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTR2 PE=1 SV=3;2;1;2;1;49,9;2,266;2,139;1,953;1,759;2,233;2,337
Q06671;Autophagy-related protein 23 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG23 PE=1 SV=1;4;2;2;2;51,5;0,731;0,773;0,869;0,633;0,749;0,807
P47148;Uncharacterized protein YJR111C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJR111C PE=1 SV=1;10;2;2;2;32,2;1,232;1,068;1,151;1,396;1,563;1,55
P42947;Uncharacterized UPF0442 protein YJL107C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJL107C PE=1 SV=1;6;2;2;2;42,5;2,419;2,244;0,988;1,636;1,411;0,329
P53068;Anaphase-promoting complex subunit DOC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DOC1 PE=1 SV=2;9;2;2;2;28,8;0,741;0,76;0,693;0,632;0,632;0,533
Q08649;Histone acetyltransferase ESA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ESA1 PE=1 SV=1;7;2;2;2;52,6;1,447;1,384;1,058;1,221;1,338;1,34
P32788;Uncharacterized protein YBL010C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBL010C PE=1 SV=1;9;2;2;2;32,6;1,368;1,279;1,547;1,312;1,391;1,358
P40361;Inactive deaminase YJL070C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJL070C PE=1 SV=1;4;2;2;2;104,2;1,723;1,597;1,907;1,51;1,64;1,734
P38887;Uncharacterized protein YHR202W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHR202W PE=1 SV=1;4;2;2;2;69;0,402;0,486;0,111;0,492;0,421;0,341
P38300;Inner membrane mitoribosome receptor MBA1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MBA1 PE=1 SV=1;8;2;2;2;31,8;0,474;0,473;0,724;0,413;0,412;0,574
Q02890;Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PNG1 PE=1 SV=1;4;2;2;2;42,5;0,57;0,6;0,47;0,52;0,592;0,562
P38859;DNA replication ATP-dependent helicase/nuclease DNA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DNA2 PE=1 SV=1;1;2;2;2;171,6;0,838;0,816;0,902;0,728;0,823;0,851
P38797;Protein phosphatase 2C homolog 7, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PTC7 PE=1 SV=2;3;1;2;1;37,8;1,592;1,678;1,41;1,52;2,041;2,324
P39956;DNA damage-responsive transcriptional repressor RPH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPH1 PE=1 SV=1;4;2;2;2;90,2;1,395;1,524;2,896;1,427;1,781;2,164
Q03214;Protein ECM5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM5 PE=1 SV=1;2;2;2;2;162,6;1,327;0,794;0,416;0,938;0,732;0,266
P27825;Calnexin homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CNE1 PE=1 SV=1;3;2;2;2;56,9;0,786;0,876;0,715;0,772;0,688;0,526
Q3E795;Uncharacterized protein YLR361C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR361C-A PE=1 SV=1;12;1;2;1;11;1,932;1,062;2,348;2,03;2,366;2,892
O60200;Mitochondrial distribution and morphology protein 35 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDM35 PE=1 SV=3;9;1;2;1;9,7;0,594;0,663;0,515;0,517;0,597;0,556
Q12277;Exosome complex component RRP42 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP42 PE=1 SV=1;7;2;2;2;29;1,59;1,629;1,195;1,474;1,69;1,465
P38824;Cytochrome c oxidase-assembly factor COX23, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX23 PE=1 SV=1;23;2;2;2;17,3;2,278;2,312;2,22;1,965;2,101;2,511
P32798;Cobalt uptake protein COT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COT1 PE=1 SV=2;7;2;2;2;48,1;0,271;0,297;0,193;0,462;0,453;0,134
Q06169;Peroxisomal membrane protein PEX30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEX30 PE=1 SV=1;5;2;2;2;59,4;0,577;0,549;0,35;0,594;0,414;0,181
Q04231;DNA repair protein RAD33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAD33 PE=1 SV=1;11;2;2;2;20,3;1,045;1,042;0,556;0,948;0,748;0,351
P36022;Dynein heavy chain, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DYN1 PE=1 SV=1;1;2;2;2;471;1,096;1,104;0,892;1,162;0,943;0,766
P38336;RNases MRP/P 32.9 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POP4 PE=1 SV=1;10;2;2;2;32,9;0,667;0,703;0,589;0,909;0,838;0,692
P34078;Protein LTV1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LTV1 PE=1 SV=2;4;2;2;2;53,4;1,1;0,991;1,071;0,821;1,018;1,111
P38991;Spindle assembly checkpoint kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IPL1 PE=1 SV=1;7;2;2;2;42,9;0,9;0,954;1,578;0,811;1,031;1,306
P22139;DNA-directed RNA polymerases I, II, and III subunit RPABC5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPB10 PE=1 SV=2;16;1;2;1;8,3;0,873;0,834;0,718;0,775;0,729;0,627
P46988;Prefoldin subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFD1 PE=1 SV=2;23;2;2;2;12,8;1,891;1,935;1,516;1,65;1,938;2,5
P46962;CTD kinase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTK2 PE=1 SV=1;3;1;2;1;37,9;0,551;0,554;0,545;0,574;0,553;0,425
Q06688;SRR1-like protein BER1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BER1 PE=1 SV=1;8;2;2;2;31,7;1,314;1,32;1,113;1,299;1,111;0,911
P39995;Chromatin modification-related protein EAF5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EAF5 PE=1 SV=1;10;2;2;2;31,6;1,254;1,18;1,211;1,271;1,06;0,963
P46944;Trafficking protein particle complex III-specific subunit 85 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRS85 PE=1 SV=2;3;2;2;2;80,4;1,528;1,508;1,212;1,534;1,288;0,959
Q03631;Weak acid resistance protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WAR1 PE=1 SV=1;3;2;2;2;107,5;0,609;0,629;0,651;0,745;0,655;0,544
P40356;Mediator of RNA polymerase II transcription subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGD1 PE=1 SV=2;6;2;2;2;43,1;1,017;1,274;0,769;1,054;0,778;1,609
Q03778;Riboflavin kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMN1 PE=1 SV=1;14;2;2;2;24,5;1,263;1,327;0,959;1,204;1,009;0,55
